B06012_001E,B06012_002E,state,county
18052.0,4560.0,29,229
230030.0,20867.0,29,047
15300.0,3426.0,29,065
21873.0,3748.0,29,195
2004.0,262.0,29,227
9923.0,1975.0,29,079
19790.0,4798.0,29,141
6339.0,1245.0,29,179
979867.0,100613.0,29,189
30785.0,4139.0,29,209
35253.0,7876.0,29,009
163378.0,31461.0,29,019
71679.0,9067.0,29,051
24089.0,5166.0,29,055
9734.0,2124.0,29,093
13801.0,2463.0,29,117
14453.0,1779.0,29,135
17293.0,5036.0,29,155
41320.0,7000.0,29,159
8118.0,1831.0,29,203
22813.0,4025.0,29,175
30499.0,8355.0,29,069
100811.0,12057.0,29,071
9455.0,1719.0,29,089
672363.0,115709.0,29,095
24671.0,4763.0,29,131
4805.0,900.0,29,171
52030.0,9264.0,29,213
85261.0,15652.0,29,021
8760.0,1153.0,29,025
99907.0,9330.0,29,037
19874.0,1887.0,29,049
16292.0,2970.0,29,059
9105.0,2295.0,29,085
53492.0,7358.0,29,113
8506.0,1333.0,29,137
57718.0,8294.0,29,145
16138.0,2447.0,29,163
372238.0,22765.0,29,183
74813.0,13236.0,29,031
5895.0,928.0,29,205
35944.0,6737.0,29,225
5270.0,635.0,29,005
16091.0,2623.0,29,013
18513.0,3581.0,29,015
6180.0,1275.0,29,035
7394.0,1520.0,29,057
12202.0,2241.0,29,115
39509.0,8980.0,29,091
49473.0,8426.0,29,101
34902.0,6698.0,29,105
8874.0,1675.0,29,125
41777.0,8620.0,29,161
94009.0,6689.0,29,165
59208.0,9955.0,29,187
306572.0,81916.0,29,510
17050.0,1568.0,29,003
41892.0,9053.0,29,023
8828.0,1632.0,29,033
438208.0,35924.0,51,810
15562.0,2847.0,51,005
6569.0,1642.0,51,640
17462.0,1940.0,51,193
12253.0,1343.0,51,133
33275.0,4491.0,51,155
37901.0,3937.0,51,187
40584.0,9135.0,51,590
25295.0,4194.0,51,630
31248.0,4405.0,51,009
4454.0,373.0,51,017
21987.0,4509.0,51,670
172600.0,27776.0,51,700
81043.0,4800.0,51,069
68212.0,16598.0,51,680
65733.0,4052.0,51,199
13098.0,3159.0,51,690
14603.0,2125.0,51,125
61386.0,9254.0,51,143
6146.0,1694.0,51,530
13552.0,365.0,51,610
31308.0,9191.0,51,730
12016.0,563.0,51,735
22969.0,1415.0,51,600
20975.0,3351.0,51,820
97230.0,21610.0,51,770
86075.0,9914.0,51,800
220103.0,46307.0,51,710
326964.0,24148.0,51,041
1123109.0,67306.0,51,059
40665.0,8637.0,53,047
40255.0,8402.0,53,037
185684.0,25797.0,53,005
446978.0,45773.0,53,011
21790.0,3154.0,53,003
18816.0,4322.0,53,001
2206.0,250.0,53,023
59666.0,10136.0,53,045
118694.0,17805.0,53,057
43300.0,7133.0,53,065
470883.0,73462.0,53,063
10178.0,1506.0,53,043
73842.0,9318.0,53,007
29449.0,3541.0,53,031
250106.0,26110.0,53,035
2050328.0,219317.0,53,033
20518.0,3829.0,53,049
12862.0,2543.0,53,051
15828.0,1749.0,53,055
11183.0,1597.0,53,059
40790.0,12246.0,53,075
243704.0,50081.0,53,077
71678.0,11273.0,53,009
101099.0,17070.0,53,015
7527.0,1771.0,53,019
74618.0,12131.0,53,041
39848.0,5330.0,53,017
77836.0,7362.0,53,029
4018.0,1214.0,13,101
81134.0,15177.0,13,127
709879.0,134830.0,13,089
28205.0,5721.0,13,143
61590.0,8330.0,13,157
15687.0,4535.0,13,163
28400.0,3888.0,13,169
7645.0,1939.0,13,181
38847.0,7315.0,13,213
191291.0,40006.0,13,215
9859.0,2342.0,13,235
16037.0,3491.0,13,241
4023.0,1666.0,13,259
10139.0,1528.0,13,281
6341.0,1184.0,13,283
7802.0,2157.0,13,287
8236.0,2270.0,13,003
17900.0,3694.0,13,001
18162.0,3846.0,13,025
16989.0,5948.0,13,017
64991.0,7700.0,13,047
23131.0,5182.0,13,055
139315.0,13225.0,13,073
92094.0,18192.0,13,115
202958.0,13024.0,13,117
24637.0,5228.0,13,147
109841.0,27436.0,13,185
20844.0,4943.0,13,199
20990.0,3727.0,13,237
28997.0,9749.0,13,261
5428.0,1432.0,13,301
3250.0,509.0,13,007
20726.0,4255.0,13,035
10614.0,3155.0,13,043
109827.0,21157.0,13,045
10300.0,3216.0,13,099
22587.0,7439.0,13,081
134707.0,16138.0,13,077
717350.0,83479.0,13,067
15063.0,2502.0,13,083
9797.0,2620.0,13,317
15458.0,3819.0,13,027
55287.0,11388.0,13,129
19075.0,3768.0,13,105
108826.0,7774.0,13,113
8964.0,2539.0,13,165
102205.0,17415.0,13,217
16381.0,3983.0,13,133
45234.0,11305.0,13,071
22555.0,3028.0,13,085
264924.0,64326.0,13,063
188250.0,33350.0,13,139
955262.0,90359.0,15,003
160142.0,15767.0,15,009
85.0,11.0,15,005
4238.0,582.0,16,071
16702.0,3705.0,16,045
9757.0,1369.0,16,085
3835.0,561.0,16,003
32002.0,12097.0,28,011
7986.0,1301.0,29,061
4418.0,614.0,29,087
27404.0,4734.0,29,127
13433.0,923.0,29,151
13842.0,3312.0,29,181
33030.0,4506.0,29,219
23613.0,4678.0,29,221
81291.0,8935.0,29,043
9140.0,1296.0,29,063
8409.0,1564.0,29,081
32086.0,3912.0,29,107
22818.0,5929.0,29,001
4749.0,781.0,29,199
6306.0,1037.0,29,211
6725.0,928.0,29,045
114592.0,20393.0,29,097
9425.0,1299.0,29,111
22383.0,4636.0,29,119
18815.0,1487.0,29,157
29731.0,5228.0,29,167
22546.0,3619.0,29,177
16027.0,3532.0,30,041
5767.0,1257.0,30,015
19054.0,3410.0,30,053
15734.0,1905.0,30,067
846.0,162.0,30,103
6498.0,1856.0,30,005
